,repo_id,repo_name,year,month,pull_request_count,commit_count,issue_count,review_count,message_count,total_contributions,growth_rate
248,25533.0,datasets,2024.0,6.0,42.0,274.0,29.0,66.0,259.0,670.0,313.0
249,25533.0,datasets,2024.0,7.0,36.0,73.0,37.0,48.0,319.0,513.0,-157.0
250,25533.0,datasets,2024.0,8.0,19.0,122.0,26.0,0.0,116.0,283.0,-230.0
251,25533.0,datasets,2024.0,9.0,23.0,14.0,25.0,0.0,126.0,188.0,-95.0
252,25534.0,nemo,2024.0,3.0,152.0,379.0,49.0,356.0,1029.0,1965.0,
253,25534.0,nemo,2024.0,4.0,231.0,510.0,58.0,731.0,1728.0,3258.0,1293.0
254,25534.0,nemo,2024.0,5.0,240.0,624.0,34.0,680.0,1244.0,2822.0,-436.0
255,25534.0,nemo,2024.0,6.0,157.0,559.0,41.0,736.0,1162.0,2655.0,-167.0
256,25534.0,nemo,2024.0,7.0,379.0,761.0,34.0,905.0,1201.0,3280.0,625.0
257,25534.0,nemo,2024.0,8.0,274.0,614.0,44.0,763.0,1407.0,3102.0,-178.0
258,25534.0,nemo,2024.0,9.0,309.0,582.0,30.0,0.0,609.0,1530.0,-1572.0
259,25535.0,milvus,2024.0,3.0,486.0,1628.0,252.0,434.0,4664.0,7464.0,
260,25535.0,milvus,2024.0,4.0,632.0,1184.0,280.0,385.0,5438.0,7919.0,455.0
261,25535.0,milvus,2024.0,5.0,455.0,1451.0,250.0,342.0,4222.0,6720.0,-1199.0
262,25535.0,milvus,2024.0,6.0,454.0,1598.0,212.0,213.0,4097.0,6574.0,-146.0
263,25535.0,milvus,2024.0,7.0,565.0,1918.0,232.0,290.0,4132.0,7137.0,563.0
264,25535.0,milvus,2024.0,8.0,439.0,1768.0,196.0,70.0,2702.0,5175.0,-1962.0
265,25535.0,milvus,2024.0,9.0,321.0,997.0,215.0,0.0,119.0,1652.0,-3523.0
266,25536.0,promptsource,2023.0,3.0,0.0,0.0,3.0,0.0,2.0,5.0,
267,25536.0,promptsource,2023.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,-3.0
268,25536.0,promptsource,2023.0,5.0,1.0,3.0,0.0,3.0,0.0,7.0,5.0
269,25536.0,promptsource,2023.0,6.0,0.0,1.0,1.0,0.0,3.0,5.0,-2.0
270,25536.0,promptsource,2023.0,7.0,2.0,1.0,0.0,0.0,1.0,4.0,-1.0
271,25536.0,promptsource,2023.0,9.0,0.0,0.0,1.0,0.0,1.0,2.0,-2.0
272,25536.0,promptsource,2024.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0
273,25537.0,llama_index,2024.0,3.0,388.0,3855.0,488.0,866.0,2733.0,8330.0,
274,25537.0,llama_index,2024.0,4.0,349.0,1069.0,347.0,554.0,1971.0,4290.0,-4040.0
